,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives,Ozone,Question,DataValue,StratificationCategory1,Stratification1
15,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,661.7,Gender,Female
16,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,363.7,Race/Ethnicity,American Indian or Alaska Native
17,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,29.1,Race/Ethnicity,Hispanic
18,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,368.0,Race/Ethnicity,"White, non-Hispanic"
19,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,210.9,Race/Ethnicity,"Black, non-Hispanic"
20,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,124.4,Gender,Female
21,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
22,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,20.4,Race/Ethnicity,Hispanic
23,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,832.5,Race/Ethnicity,"White, non-Hispanic"
24,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,,Race/Ethnicity,Asian or Pacific Islander
25,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
26,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,265.3,Gender,Male
27,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,198.1,Race/Ethnicity,Asian or Pacific Islander
28,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,,Race/Ethnicity,Hispanic
29,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
30,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,284.5,Race/Ethnicity,"White, non-Hispanic"
31,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,138.8,Race/Ethnicity,"White, non-Hispanic"
32,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,93.9,Gender,Female
33,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,254.2,Race/Ethnicity,Hispanic
34,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,284.5,Race/Ethnicity,"Black, non-Hispanic"
35,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,159.5,Gender,Male
36,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,90.7,Race/Ethnicity,"Black, non-Hispanic"
37,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,38.8,Race/Ethnicity,Asian or Pacific Islander
38,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
39,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
40,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,110.0,Overall,Overall
41,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,83.5,Race/Ethnicity,"Black, non-Hispanic"
42,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
43,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,866.0,Overall,Overall
44,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,111.9,Gender,Male
45,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,136.8,Gender,Female
46,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,326.0,Overall,Overall
47,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,86.5,Race/Ethnicity,American Indian or Alaska Native
48,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,319.1,Gender,Female
49,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,292.3,Race/Ethnicity,"White, non-Hispanic"
50,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,245.2,Overall,Overall
51,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,56.9,Race/Ethnicity,"Black, non-Hispanic"
52,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,1085.7,Gender,Male
53,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,179.4,Race/Ethnicity,"White, non-Hispanic"
54,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,147.3,Overall,Overall
55,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
56,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from diseases of the heart,249.6,Overall,Overall
57,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,333.5,Gender,Male
58,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,114.9,Race/Ethnicity,"Black, non-Hispanic"
59,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Premature mortality among adults aged 45-64 years,1051.7,Race/Ethnicity,"Black, non-Hispanic"
60,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
61,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",202.8,Race/Ethnicity,Asian or Pacific Islander
62,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",577.7,Gender,Male
63,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",490.6,Gender,Female
64,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",532.8,Overall,Overall
65,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",598.2,Race/Ethnicity,"White, non-Hispanic"
66,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from heart failure,118.3,Overall,Overall
67,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",103.6,Race/Ethnicity,Hispanic
68,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
69,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",108.0,Race/Ethnicity,American Indian or Alaska Native
70,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,Mortality from total cardiovascular diseases,103.8,Race/Ethnicity,American Indian or Alaska Native
71,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Invasive cancer (all sites combined), incidence",434.0,Race/Ethnicity,"Black, non-Hispanic"
72,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",66.5,Gender,Female
73,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",22.9,Race/Ethnicity,Asian or Pacific Islander
74,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",17.1,Race/Ethnicity,American Indian or Alaska Native
75,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",7.6,Race/Ethnicity,Hispanic
76,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",82.0,Overall,Overall
77,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",98.4,Gender,Male
78,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",56.5,Race/Ethnicity,"Black, non-Hispanic"
79,AL,2012,84138381.0,701702.0,602778.0,264437.0,0.0,3.0,7.0,4.0,0.0,0.0,0.044214889,"Cancer of the lung and bronchus, incidence",98.2,Race/Ethnicity,"White, non-Hispanic"
80,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,8.7,Overall,Overall
81,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,,Race/Ethnicity,Hispanic
82,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
83,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,16.3,Race/Ethnicity,"Black, non-Hispanic"
84,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
85,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,6.2,Race/Ethnicity,"White, non-Hispanic"
86,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,10.9,Gender,Female
87,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Asthma mortality rate,,Gender,Male
88,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,220.3,Gender,Female
89,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
90,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,178.7,Race/Ethnicity,"White, non-Hispanic"
91,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,148.3,Overall,Overall
92,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,128.0,Race/Ethnicity,"Black, non-Hispanic"
93,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,254.5,Overall,Overall
94,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,165.1,Gender,Male
95,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
96,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,133.7,Gender,Female
97,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,301.6,Race/Ethnicity,"White, non-Hispanic"
98,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,294.1,Gender,Male
99,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
100,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
101,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
102,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,64.3,Race/Ethnicity,"Black, non-Hispanic"
103,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
104,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,91.2,Gender,Female
105,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,376.2,Race/Ethnicity,"White, non-Hispanic"
106,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,123.2,Overall,Overall
107,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,,Race/Ethnicity,Hispanic
108,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,279.8,Gender,Male
109,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,82.4,Race/Ethnicity,"Black, non-Hispanic"
110,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
111,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native
112,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,301.5,Race/Ethnicity,"Black, non-Hispanic"
113,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,125.8,Gender,Female
114,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
115,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,42.9,Race/Ethnicity,Hispanic
116,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,90.6,Race/Ethnicity,"Black, non-Hispanic"
117,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
118,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,292.4,Race/Ethnicity,"White, non-Hispanic"
119,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,47.8,Race/Ethnicity,Asian or Pacific Islander
120,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,130.5,Race/Ethnicity,"White, non-Hispanic"
121,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,30.8,Race/Ethnicity,Hispanic
122,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,,Race/Ethnicity,American Indian or Alaska Native
123,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,336.2,Overall,Overall
124,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,319.4,Gender,Female
125,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from total cardiovascular diseases,354.0,Gender,Male
126,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,37.3,Race/Ethnicity,Asian or Pacific Islander
127,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,120.4,Gender,Male
128,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,258.0,Overall,Overall
129,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
130,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,110.8,Overall,Overall
131,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,131.6,Gender,Male
132,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from heart failure,146.2,Race/Ethnicity,"White, non-Hispanic"
133,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,222.1,Race/Ethnicity,"Black, non-Hispanic"
134,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from coronary heart disease,10.6,Race/Ethnicity,Hispanic
135,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Mortality from diseases of the heart,237.5,Gender,Female
136,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Premature mortality among adults aged 45-64 years,672.2,Gender,Female
137,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Premature mortality among adults aged 45-64 years,850.0,Race/Ethnicity,"White, non-Hispanic"
138,AL,2013,83297945.0,594388.0,451420.0,274194.0,0.0,3.0,7.0,4.0,0.0,0.0,0.039732883999999996,Premature mortality among adults aged 45-64 years,278.1,Race/Ethnicity,Hispanic
