,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,Question,DataValue,StratificationCategory1,Stratification1,Population,Total Sq. Mi.,Total Sq. Km.
36,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,90.7,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
37,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,38.8,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
38,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
39,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
40,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,110.0,Overall,Overall,4815588.0,"52,420","135,767"
41,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,83.5,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
42,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
43,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,866.0,Overall,Overall,4815588.0,"52,420","135,767"
44,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,111.9,Gender,Male,4815588.0,"52,420","135,767"
45,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,136.8,Gender,Female,4815588.0,"52,420","135,767"
46,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,326.0,Overall,Overall,4815588.0,"52,420","135,767"
47,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,86.5,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
48,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,319.1,Gender,Female,4815588.0,"52,420","135,767"
49,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,292.3,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
50,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,245.2,Overall,Overall,4815588.0,"52,420","135,767"
51,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,56.9,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
52,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,1085.7,Gender,Male,4815588.0,"52,420","135,767"
53,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,179.4,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
54,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,147.3,Overall,Overall,4815588.0,"52,420","135,767"
55,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
56,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from diseases of the heart,249.6,Overall,Overall,4815588.0,"52,420","135,767"
57,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,333.5,Gender,Male,4815588.0,"52,420","135,767"
58,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,114.9,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
59,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Premature mortality among adults aged 45-64 years,1051.7,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
60,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
61,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",202.8,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
62,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",577.7,Gender,Male,4815588.0,"52,420","135,767"
63,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",490.6,Gender,Female,4815588.0,"52,420","135,767"
64,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",532.8,Overall,Overall,4815588.0,"52,420","135,767"
65,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",598.2,Race/Ethnicity,"White, non-Hispanic",4815588.0,"52,420","135,767"
66,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from heart failure,118.3,Overall,Overall,4815588.0,"52,420","135,767"
67,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",103.6,Race/Ethnicity,Hispanic,4815588.0,"52,420","135,767"
68,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander,4815588.0,"52,420","135,767"
69,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",108.0,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
70,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,Mortality from total cardiovascular diseases,103.8,Race/Ethnicity,American Indian or Alaska Native,4815588.0,"52,420","135,767"
71,AL,2012,84138381,701702,602778,264437,3,7,4,0.044214889,"Invasive cancer (all sites combined), incidence",434.0,Race/Ethnicity,"Black, non-Hispanic",4815588.0,"52,420","135,767"
72,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,8.7,Overall,Overall,4830081.0,"52,420","135,767"
73,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
74,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
75,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,16.3,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
76,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
77,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,6.2,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
78,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,10.9,Gender,Female,4830081.0,"52,420","135,767"
79,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Asthma mortality rate,,Gender,Male,4830081.0,"52,420","135,767"
80,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,220.3,Gender,Female,4830081.0,"52,420","135,767"
81,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
82,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,178.7,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
83,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,148.3,Overall,Overall,4830081.0,"52,420","135,767"
84,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,128.0,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
85,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,254.5,Overall,Overall,4830081.0,"52,420","135,767"
86,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,165.1,Gender,Male,4830081.0,"52,420","135,767"
87,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
88,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,133.7,Gender,Female,4830081.0,"52,420","135,767"
89,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,301.6,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
90,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,294.1,Gender,Male,4830081.0,"52,420","135,767"
91,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
92,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
93,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
94,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,64.3,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
95,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
96,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,91.2,Gender,Female,4830081.0,"52,420","135,767"
97,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,376.2,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
98,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,123.2,Overall,Overall,4830081.0,"52,420","135,767"
99,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
100,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,279.8,Gender,Male,4830081.0,"52,420","135,767"
101,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,82.4,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
102,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
103,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
104,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,301.5,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
105,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,125.8,Gender,Female,4830081.0,"52,420","135,767"
106,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
107,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,42.9,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
108,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,90.6,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
109,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
110,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,292.4,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
111,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,47.8,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
112,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,130.5,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
113,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,30.8,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
114,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
115,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,336.2,Overall,Overall,4830081.0,"52,420","135,767"
116,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,319.4,Gender,Female,4830081.0,"52,420","135,767"
117,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from total cardiovascular diseases,354.0,Gender,Male,4830081.0,"52,420","135,767"
118,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,37.3,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
119,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,120.4,Gender,Male,4830081.0,"52,420","135,767"
120,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,258.0,Overall,Overall,4830081.0,"52,420","135,767"
121,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
122,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,110.8,Overall,Overall,4830081.0,"52,420","135,767"
123,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,131.6,Gender,Male,4830081.0,"52,420","135,767"
124,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from heart failure,146.2,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
125,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,222.1,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
126,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from coronary heart disease,10.6,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
127,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Mortality from diseases of the heart,237.5,Gender,Female,4830081.0,"52,420","135,767"
128,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,672.2,Gender,Female,4830081.0,"52,420","135,767"
129,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,850.0,Race/Ethnicity,"White, non-Hispanic",4830081.0,"52,420","135,767"
130,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,278.1,Race/Ethnicity,Hispanic,4830081.0,"52,420","135,767"
131,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,326.6,Race/Ethnicity,American Indian or Alaska Native,4830081.0,"52,420","135,767"
132,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,887.5,Overall,Overall,4830081.0,"52,420","135,767"
133,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,1091.9,Race/Ethnicity,"Black, non-Hispanic",4830081.0,"52,420","135,767"
134,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,1119.1,Gender,Male,4830081.0,"52,420","135,767"
135,AL,2013,83297945,594388,451420,274194,3,7,4,0.039732884,Premature mortality among adults aged 45-64 years,140.7,Race/Ethnicity,Asian or Pacific Islander,4830081.0,"52,420","135,767"
136,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality from diseases of the heart,36.9,Race/Ethnicity,Hispanic,4841799.0,"52,420","135,767"
137,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality from coronary heart disease,88.1,Gender,Female,4841799.0,"52,420","135,767"
138,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Premature mortality among adults aged 45-64 years,695.8,Gender,Female,4841799.0,"52,420","135,767"
139,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,176.8,Race/Ethnicity,"White, non-Hispanic",4841799.0,"52,420","135,767"
140,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,4841799.0,"52,420","135,767"
141,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,59.6,Race/Ethnicity,"Black, non-Hispanic",4841799.0,"52,420","135,767"
142,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,9.4,Gender,Male,4841799.0,"52,420","135,767"
143,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,14.0,Gender,Female,4841799.0,"52,420","135,767"
144,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,8.6,Race/Ethnicity,"White, non-Hispanic",4841799.0,"52,420","135,767"
145,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,,Race/Ethnicity,Hispanic,4841799.0,"52,420","135,767"
146,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,282.6,Race/Ethnicity,"White, non-Hispanic",4841799.0,"52,420","135,767"
147,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,21.5,Race/Ethnicity,"Black, non-Hispanic",4841799.0,"52,420","135,767"
148,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4841799.0,"52,420","135,767"
149,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,236.7,Overall,Overall,4841799.0,"52,420","135,767"
150,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,208.9,Gender,Female,4841799.0,"52,420","135,767"
151,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,4841799.0,"52,420","135,767"
152,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,112.0,Race/Ethnicity,"Black, non-Hispanic",4841799.0,"52,420","135,767"
153,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,135.3,Gender,Female,4841799.0,"52,420","135,767"
154,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,4841799.0,"52,420","135,767"
155,AL,2014,84847355,634009,525399,312201,3,7,4,0.040936493,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,268.9,Gender,Male,4841799.0,"52,420","135,767"
