,Year,STATE,Question,DataValue,StratificationCategory1,Stratification1
53,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,223.5,Gender,Female
54,2017,AL,Premature mortality among adults aged 45-64 years,233.8,Race/Ethnicity,Hispanic
55,2017,AL,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
56,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,153.3,Gender,Female
57,2017,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,171.9,Gender,Male
58,2017,AL,Asthma mortality rate,15.2,Overall,Overall
59,2017,AL,Asthma mortality rate,25.8,Race/Ethnicity,"Black, non-Hispanic"
60,2017,AL,Mortality from diseases of the heart,29.8,Race/Ethnicity,Hispanic
61,2017,AL,Mortality from coronary heart disease,79.9,Gender,Female
62,2017,AL,Mortality from total cardiovascular diseases,328.9,Gender,Female
63,2017,AL,Mortality from total cardiovascular diseases,39.3,Race/Ethnicity,Hispanic
64,2017,AL,Asthma mortality rate,12.3,Gender,Male
65,2017,AL,Mortality from total cardiovascular diseases,82.6,Race/Ethnicity,Asian or Pacific Islander
66,2017,AL,Mortality from coronary heart disease,12.3,Race/Ethnicity,Hispanic
67,2017,AL,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
68,2014,AL,Premature mortality among adults aged 45-64 years,695.8,Gender,Female
69,2017,AL,Asthma mortality rate,,Race/Ethnicity,Hispanic
70,2017,AL,Asthma mortality rate,17.9,Gender,Female
71,2017,AL,Asthma mortality rate,12.4,Race/Ethnicity,"White, non-Hispanic"
72,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
73,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,190.4,Race/Ethnicity,"White, non-Hispanic"
74,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,68.8,Race/Ethnicity,"Black, non-Hispanic"
75,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,131.7,Race/Ethnicity,"Black, non-Hispanic"
76,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,247.8,Overall,Overall
77,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
78,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
79,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
80,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,156.7,Overall,Overall
81,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,293.8,Race/Ethnicity,"White, non-Hispanic"
82,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,221.2,Gender,Female
83,2016,AL,Mortality from diseases of the heart,240.1,Gender,Female
84,2016,AL,Mortality from coronary heart disease,103.6,Overall,Overall
85,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
86,2016,AL,Premature mortality among adults aged 45-64 years,1043.0,Race/Ethnicity,"Black, non-Hispanic"
87,2016,AL,Mortality from total cardiovascular diseases,347.4,Overall,Overall
88,2016,AL,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
89,2016,AL,Mortality from diseases of the heart,216.6,Race/Ethnicity,"Black, non-Hispanic"
90,2016,AL,Mortality from diseases of the heart,44.2,Race/Ethnicity,Asian or Pacific Islander
91,2016,AL,Premature mortality among adults aged 45-64 years,233.5,Race/Ethnicity,Asian or Pacific Islander
92,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,166.2,Gender,Male
93,2016,AL,Asthma mortality rate,,Race/Ethnicity,Hispanic
94,2016,AL,Mortality from diseases of the heart,87.3,Race/Ethnicity,American Indian or Alaska Native
95,2016,AL,Premature mortality among adults aged 45-64 years,362.2,Race/Ethnicity,American Indian or Alaska Native
96,2016,AL,Asthma mortality rate,8.0,Race/Ethnicity,"White, non-Hispanic"
97,2016,AL,Mortality from total cardiovascular diseases,329.7,Gender,Female
98,2016,AL,Mortality from total cardiovascular diseases,299.7,Race/Ethnicity,"Black, non-Hispanic"
99,2016,AL,Mortality from coronary heart disease,77.3,Race/Ethnicity,"Black, non-Hispanic"
100,2016,AL,Mortality from heart failure,146.7,Race/Ethnicity,"White, non-Hispanic"
101,2016,AL,Mortality from coronary heart disease,123.2,Gender,Male
102,2016,AL,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
103,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
104,2016,AL,Asthma mortality rate,16.8,Race/Ethnicity,"Black, non-Hispanic"
105,2016,AL,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
106,2016,AL,Asthma mortality rate,9.9,Overall,Overall
107,2016,AL,Mortality from total cardiovascular diseases,80.3,Race/Ethnicity,Asian or Pacific Islander
108,2016,AL,Mortality from coronary heart disease,85.1,Gender,Female
109,2016,AL,Mortality from heart failure,121.5,Gender,Male
110,2016,AL,Premature mortality among adults aged 45-64 years,903.6,Overall,Overall
111,2016,AL,Mortality from heart failure,127.0,Gender,Female
112,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,278.6,Gender,Male
113,2016,AL,Mortality from heart failure,95.2,Race/Ethnicity,"Black, non-Hispanic"
114,2016,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,148.4,Gender,Female
115,2016,AL,Mortality from diseases of the heart,304.7,Race/Ethnicity,"White, non-Hispanic"
116,2016,AL,Mortality from coronary heart disease,26.8,Race/Ethnicity,Asian or Pacific Islander
117,2016,AL,Mortality from total cardiovascular diseases,30.4,Race/Ethnicity,Hispanic
118,2016,AL,Premature mortality among adults aged 45-64 years,696.6,Gender,Female
119,2016,AL,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
120,2016,AL,Mortality from diseases of the heart,289.2,Gender,Male
121,2016,AL,Mortality from total cardiovascular diseases,107.5,Race/Ethnicity,American Indian or Alaska Native
122,2016,AL,Asthma mortality rate,11.2,Gender,Female
123,2016,AL,Mortality from diseases of the heart,263.9,Overall,Overall
124,2016,AL,Mortality from heart failure,,Race/Ethnicity,Hispanic
125,2016,AL,Mortality from heart failure,124.3,Overall,Overall
126,2016,AL,Asthma mortality rate,8.5,Gender,Male
127,2016,AL,Mortality from diseases of the heart,20.6,Race/Ethnicity,Hispanic
128,2016,AL,Premature mortality among adults aged 45-64 years,892.4,Race/Ethnicity,"White, non-Hispanic"
129,2016,AL,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
130,2016,AL,Mortality from total cardiovascular diseases,394.7,Race/Ethnicity,"White, non-Hispanic"
131,2016,AL,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
132,2016,AL,Premature mortality among adults aged 45-64 years,1126.0,Gender,Male
133,2016,AL,Mortality from coronary heart disease,122.2,Race/Ethnicity,"White, non-Hispanic"
134,2016,AL,Mortality from total cardiovascular diseases,366.2,Gender,Male
135,2016,AL,Premature mortality among adults aged 45-64 years,260.1,Race/Ethnicity,Hispanic
136,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,276.7,Gender,Male
137,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
138,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,170.1,Gender,Male
139,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,156.2,Overall,Overall
140,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
141,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,190.7,Race/Ethnicity,"White, non-Hispanic"
142,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,117.5,Race/Ethnicity,"Black, non-Hispanic"
143,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,289.4,Race/Ethnicity,"White, non-Hispanic"
144,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
145,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
146,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,64.3,Race/Ethnicity,"Black, non-Hispanic"
147,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
148,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
149,2015,AL,Asthma mortality rate,8.0,Race/Ethnicity,"White, non-Hispanic"
150,2015,AL,Mortality from diseases of the heart,247.0,Gender,Female
151,2015,AL,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
152,2015,AL,Asthma mortality rate,12.0,Gender,Female
153,2015,AL,Asthma mortality rate,10.7,Overall,Overall
154,2015,AL,Mortality from total cardiovascular diseases,35.9,Race/Ethnicity,Hispanic
155,2015,AL,Mortality from heart failure,95.8,Race/Ethnicity,"Black, non-Hispanic"
156,2015,AL,Mortality from total cardiovascular diseases,97.7,Race/Ethnicity,American Indian or Alaska Native
157,2015,AL,Mortality from coronary heart disease,105.5,Overall,Overall
158,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,241.7,Overall,Overall
159,2015,AL,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
160,2015,AL,Mortality from diseases of the heart,288.6,Gender,Male
161,2015,AL,Mortality from heart failure,126.8,Gender,Female
162,2015,AL,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
163,2015,AL,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,Asian or Pacific Islander
164,2015,AL,Premature mortality among adults aged 45-64 years,1146.0,Gender,Male
165,2015,AL,Mortality from diseases of the heart,77.5,Race/Ethnicity,American Indian or Alaska Native
166,2015,AL,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
167,2015,AL,Premature mortality among adults aged 45-64 years,422.7,Race/Ethnicity,American Indian or Alaska Native
168,2015,AL,Premature mortality among adults aged 45-64 years,889.5,Race/Ethnicity,"White, non-Hispanic"
169,2015,AL,Mortality from total cardiovascular diseases,294.6,Race/Ethnicity,"Black, non-Hispanic"
170,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,144.3,Gender,Female
171,2015,AL,Asthma mortality rate,9.3,Gender,Male
172,2015,AL,Mortality from coronary heart disease,127.3,Gender,Male
173,2015,AL,Mortality from diseases of the heart,211.0,Race/Ethnicity,"Black, non-Hispanic"
174,2015,AL,Mortality from heart failure,146.7,Race/Ethnicity,"White, non-Hispanic"
175,2015,AL,Mortality from total cardiovascular diseases,349.7,Overall,Overall
176,2015,AL,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
177,2015,AL,Mortality from diseases of the heart,312.0,Race/Ethnicity,"White, non-Hispanic"
178,2015,AL,Premature mortality among adults aged 45-64 years,911.7,Overall,Overall
179,2015,AL,Mortality from heart failure,121.9,Gender,Male
180,2015,AL,Mortality from diseases of the heart,,Race/Ethnicity,Asian or Pacific Islander
181,2015,AL,Mortality from total cardiovascular diseases,401.0,Race/Ethnicity,"White, non-Hispanic"
182,2015,AL,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
183,2015,AL,Mortality from coronary heart disease,77.9,Race/Ethnicity,"Black, non-Hispanic"
184,2015,AL,Premature mortality among adults aged 45-64 years,693.7,Gender,Female
185,2015,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,211.5,Gender,Female
186,2015,AL,Asthma mortality rate,19.1,Race/Ethnicity,"Black, non-Hispanic"
187,2015,AL,Mortality from coronary heart disease,85.1,Gender,Female
188,2015,AL,Mortality from total cardiovascular diseases,364.4,Gender,Male
189,2015,AL,Mortality from coronary heart disease,125.2,Race/Ethnicity,"White, non-Hispanic"
190,2015,AL,Asthma mortality rate,,Race/Ethnicity,Hispanic
191,2015,AL,Mortality from diseases of the heart,267.2,Overall,Overall
192,2015,AL,Mortality from total cardiovascular diseases,335.8,Gender,Female
193,2015,AL,Mortality from total cardiovascular diseases,,Race/Ethnicity,Asian or Pacific Islander
194,2015,AL,Premature mortality among adults aged 45-64 years,288.5,Race/Ethnicity,Hispanic
195,2015,AL,Premature mortality among adults aged 45-64 years,1082.0,Race/Ethnicity,"Black, non-Hispanic"
196,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,176.8,Race/Ethnicity,"White, non-Hispanic"
197,2014,AL,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
198,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,59.6,Race/Ethnicity,"Black, non-Hispanic"
199,2014,AL,Asthma mortality rate,9.4,Gender,Male
200,2014,AL,Asthma mortality rate,14.0,Gender,Female
201,2014,AL,Asthma mortality rate,8.6,Race/Ethnicity,"White, non-Hispanic"
202,2014,AL,Asthma mortality rate,,Race/Ethnicity,Hispanic
203,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,282.6,Race/Ethnicity,"White, non-Hispanic"
204,2014,AL,Asthma mortality rate,21.5,Race/Ethnicity,"Black, non-Hispanic"
205,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
206,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,236.7,Overall,Overall
207,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,208.9,Gender,Female
208,2014,AL,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
209,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,112.0,Race/Ethnicity,"Black, non-Hispanic"
210,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,135.3,Gender,Female
211,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
212,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,268.9,Gender,Male
213,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,145.6,Overall,Overall
214,2014,AL,Asthma mortality rate,11.8,Overall,Overall
215,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,157.5,Gender,Male
216,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
217,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
218,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
219,2014,AL,Mortality from total cardiovascular diseases,290.5,Race/Ethnicity,"Black, non-Hispanic"
220,2014,AL,Mortality from total cardiovascular diseases,349.2,Gender,Male
221,2014,AL,Mortality from diseases of the heart,,Race/Ethnicity,Asian or Pacific Islander
222,2014,AL,Mortality from coronary heart disease,80.2,Race/Ethnicity,"Black, non-Hispanic"
223,2014,AL,Mortality from heart failure,142.4,Race/Ethnicity,"White, non-Hispanic"
224,2014,AL,Mortality from heart failure,11.0,Race/Ethnicity,Hispanic
225,2014,AL,Mortality from heart failure,92.6,Race/Ethnicity,"Black, non-Hispanic"
226,2014,AL,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
227,2014,AL,Mortality from total cardiovascular diseases,334.6,Overall,Overall
228,2014,AL,Mortality from diseases of the heart,95.2,Race/Ethnicity,American Indian or Alaska Native
229,2014,AL,Mortality from total cardiovascular diseases,321.0,Gender,Female
230,2014,AL,Mortality from coronary heart disease,124.9,Race/Ethnicity,"White, non-Hispanic"
231,2014,AL,Mortality from diseases of the heart,257.0,Overall,Overall
232,2014,AL,Mortality from total cardiovascular diseases,377.9,Race/Ethnicity,"White, non-Hispanic"
233,2014,AL,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
234,2014,AL,Mortality from diseases of the heart,275.0,Gender,Male
235,2014,AL,Mortality from heart failure,117.2,Gender,Male
236,2014,AL,Mortality from diseases of the heart,211.6,Race/Ethnicity,"Black, non-Hispanic"
237,2014,AL,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
238,2014,AL,Mortality from total cardiovascular diseases,115.6,Race/Ethnicity,American Indian or Alaska Native
239,2014,AL,Mortality from coronary heart disease,106.1,Overall,Overall
240,2014,AL,Mortality from diseases of the heart,294.8,Race/Ethnicity,"White, non-Hispanic"
241,2014,AL,Mortality from heart failure,121.2,Overall,Overall
242,2014,AL,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
243,2014,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
244,2014,AL,Mortality from coronary heart disease,12.5,Race/Ethnicity,Hispanic
245,2014,AL,Mortality from total cardiovascular diseases,44.4,Race/Ethnicity,Hispanic
246,2014,AL,Mortality from coronary heart disease,125.3,Gender,Male
247,2014,AL,Mortality from total cardiovascular diseases,32.8,Race/Ethnicity,Asian or Pacific Islander
248,2014,AL,Mortality from heart failure,125.1,Gender,Female
249,2014,AL,Mortality from diseases of the heart,240.0,Gender,Female
250,2014,AL,Premature mortality among adults aged 45-64 years,1084.0,Gender,Male
251,2013,AL,Asthma mortality rate,8.7,Overall,Overall
252,2014,AL,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,Asian or Pacific Islander
253,2014,AL,Premature mortality among adults aged 45-64 years,870.4,Race/Ethnicity,"White, non-Hispanic"
254,2014,AL,Premature mortality among adults aged 45-64 years,283.4,Race/Ethnicity,Hispanic
255,2014,AL,Premature mortality among adults aged 45-64 years,882.7,Overall,Overall
256,2014,AL,Premature mortality among adults aged 45-64 years,1014.4,Race/Ethnicity,"Black, non-Hispanic"
257,2014,AL,Premature mortality among adults aged 45-64 years,357.9,Race/Ethnicity,American Indian or Alaska Native
258,2013,AL,Asthma mortality rate,,Race/Ethnicity,Hispanic
259,2013,AL,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
260,2013,AL,Asthma mortality rate,16.3,Race/Ethnicity,"Black, non-Hispanic"
261,2013,AL,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
262,2013,AL,Asthma mortality rate,6.2,Race/Ethnicity,"White, non-Hispanic"
263,2013,AL,Asthma mortality rate,10.9,Gender,Female
264,2013,AL,Asthma mortality rate,,Gender,Male
265,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,220.3,Gender,Female
266,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
267,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,178.7,Race/Ethnicity,"White, non-Hispanic"
268,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,148.3,Overall,Overall
269,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,128.0,Race/Ethnicity,"Black, non-Hispanic"
270,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,254.5,Overall,Overall
271,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,165.1,Gender,Male
272,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
273,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,133.7,Gender,Female
274,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,301.6,Race/Ethnicity,"White, non-Hispanic"
275,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,294.1,Gender,Male
276,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
277,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
278,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
279,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,64.3,Race/Ethnicity,"Black, non-Hispanic"
280,2013,AL,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native
281,2013,AL,Mortality from coronary heart disease,91.2,Gender,Female
282,2013,AL,Mortality from total cardiovascular diseases,376.2,Race/Ethnicity,"White, non-Hispanic"
283,2013,AL,Mortality from heart failure,123.2,Overall,Overall
284,2013,AL,Mortality from heart failure,,Race/Ethnicity,Hispanic
285,2013,AL,Mortality from diseases of the heart,279.8,Gender,Male
286,2013,AL,Mortality from coronary heart disease,82.4,Race/Ethnicity,"Black, non-Hispanic"
287,2013,AL,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native
288,2013,AL,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native
289,2013,AL,Mortality from total cardiovascular diseases,301.5,Race/Ethnicity,"Black, non-Hispanic"
290,2013,AL,Mortality from heart failure,125.8,Gender,Female
291,2013,AL,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native
292,2013,AL,Mortality from total cardiovascular diseases,42.9,Race/Ethnicity,Hispanic
293,2013,AL,Mortality from heart failure,90.6,Race/Ethnicity,"Black, non-Hispanic"
